Indeks produktu; Atrybut(Nazwa:Typ:Pozycja)*; Wartość(Wartość:Pozycja)*; Ilość 
21358;Data:select:0, Godzina:select:1;k:0, 1:11;250 
21358;Data:select:0, Godzina:select:1;k:0, 1:12;250 
21358;Data:select:0, Godzina:select:1;k:0, 2:13;250 
21358;Data:select:0, Godzina:select:1;k:0, 2:14;250 
21358;Data:select:0, Godzina:select:1;k:0, 2:15;250 
21362;Data:select:0, Godzina:select:1;k:0, 27:1;250 
21362;Data:select:0, Godzina:select:1;k:0, 28:2;250 
21362;Data:select:0, Godzina:select:1;k:0, 29:3;250 
21362;Data:select:0, Godzina:select:1;k:0, 29:4;250 
21362;Data:select:0, Godzina:select:1;k:0, 30:5;250 
21362;Data:select:0, Godzina:select:1;k:0, 30:6;250 
21362;Data:select:0, Godzina:select:1;k:0, 1:7;250 
21362;Data:select:0, Godzina:select:1;k:0, 1:8;250 
21362;Data:select:0, Godzina:select:1;k:0, 2:9;250 
21362;Data:select:0, Godzina:select:1;k:0, 2:10;250 
21363;Data:select:0, Godzina:select:1;k:0, 27:1;250 
21363;Data:select:0, Godzina:select:1;k:0, 28:2;250 
21363;Data:select:0, Godzina:select:1;k:0, 29:3;250 
21363;Data:select:0, Godzina:select:1;k:0, 30:4;250 
21363;Data:select:0, Godzina:select:1;k:0, 1:5;250 
21363;Data:select:0, Godzina:select:1;k:0, 2:6;250 
21364;Data:select:0, Godzina:select:1;k:0, 27:1;250 
21364;Data:select:0, Godzina:select:1;k:0, 27:2;250 
21364;Data:select:0, Godzina:select:1;k:0, 27:3;250 
21364;Data:select:0, Godzina:select:1;k:0, 27:4;250 
21364;Data:select:0, Godzina:select:1;k:0, 27:5;250 
21364;Data:select:0, Godzina:select:1;k:0, 28:6;250 
21364;Data:select:0, Godzina:select:1;k:0, 28:7;250 
21364;Data:select:0, Godzina:select:1;k:0, 28:8;250 
21364;Data:select:0, Godzina:select:1;k:0, 28:9;250 
21364;Data:select:0, Godzina:select:1;k:0, 29:10;250 
21364;Data:select:0, Godzina:select:1;k:0, 29:11;250 
21364;Data:select:0, Godzina:select:1;k:0, 29:12;250 
21364;Data:select:0, Godzina:select:1;k:0, 29:13;250 
21364;Data:select:0, Godzina:select:1;k:0, 30:14;250 
21364;Data:select:0, Godzina:select:1;k:0, 30:15;250 
21364;Data:select:0, Godzina:select:1;k:0, 30:16;250 
21364;Data:select:0, Godzina:select:1;k:0, 30:17;250 
21364;Data:select:0, Godzina:select:1;k:0, 1:18;250 
21364;Data:select:0, Godzina:select:1;k:0, 1:19;250 
21364;Data:select:0, Godzina:select:1;k:0, 1:20;250 
21364;Data:select:0, Godzina:select:1;k:0, 1:21;250 
21364;Data:select:0, Godzina:select:1;k:0, 2:22;250 
21364;Data:select:0, Godzina:select:1;k:0, 2:23;250 
21364;Data:select:0, Godzina:select:1;k:0, 2:24;250 
21364;Data:select:0, Godzina:select:1;k:0, 2:25;250 
21557;Data:select:0, Godzina:select:1;k:0, 1:1;250 
21748;Data:select:0, Godzina:select:1;k:0, 27:1;250 
21748;Data:select:0, Godzina:select:1;k:0, 27:2;250 
21748;Data:select:0, Godzina:select:1;k:0, 27:3;250 
21748;Data:select:0, Godzina:select:1;k:0, 27:4;250 
21748;Data:select:0, Godzina:select:1;k:0, 27:5;250 
21748;Data:select:0, Godzina:select:1;k:0, 27:6;250 
21748;Data:select:0, Godzina:select:1;k:0, 28:7;250 
21748;Data:select:0, Godzina:select:1;k:0, 28:8;250 
21748;Data:select:0, Godzina:select:1;k:0, 28:9;250 
21748;Data:select:0, Godzina:select:1;k:0, 28:10;250 
21748;Data:select:0, Godzina:select:1;k:0, 28:11;250 
21748;Data:select:0, Godzina:select:1;k:0, 28:12;250 
21748;Data:select:0, Godzina:select:1;k:0, 29:13;250 
21748;Data:select:0, Godzina:select:1;k:0, 29:14;250 
21748;Data:select:0, Godzina:select:1;k:0, 29:15;250 
21748;Data:select:0, Godzina:select:1;k:0, 29:16;250 
21748;Data:select:0, Godzina:select:1;k:0, 29:17;250 
21748;Data:select:0, Godzina:select:1;k:0, 30:18;250 
21748;Data:select:0, Godzina:select:1;k:0, 30:19;250 
21748;Data:select:0, Godzina:select:1;k:0, 30:20;250 
21748;Data:select:0, Godzina:select:1;k:0, 30:21;250 
21748;Data:select:0, Godzina:select:1;k:0, 30:22;250 
21748;Data:select:0, Godzina:select:1;k:0, 30:23;250 
21748;Data:select:0, Godzina:select:1;k:0, 1:24;250 
21748;Data:select:0, Godzina:select:1;k:0, 1:25;250 
21748;Data:select:0, Godzina:select:1;k:0, 1:26;250 
21748;Data:select:0, Godzina:select:1;k:0, 1:27;250 
21748;Data:select:0, Godzina:select:1;k:0, 1:28;250 
21748;Data:select:0, Godzina:select:1;k:0, 1:29;250 
21748;Data:select:0, Godzina:select:1;k:0, 2:30;250 
21748;Data:select:0, Godzina:select:1;k:0, 2:31;250 
21748;Data:select:0, Godzina:select:1;k:0, 2:32;250 
21748;Data:select:0, Godzina:select:1;k:0, 2:33;250 
21748;Data:select:0, Godzina:select:1;k:0, 2:34;250 
21754;Data:select:0, Godzina:select:1;k:0, 30:1;250 
21836;Data:select:0, Godzina:select:1;k:0, 29:1;250 
22142;Data:select:0, Godzina:select:1;k:0, 27:1;250 
22142;Data:select:0, Godzina:select:1;k:0, 27:2;250 
22142;Data:select:0, Godzina:select:1;k:0, 27:3;250 
22142;Data:select:0, Godzina:select:1;k:0, 28:4;250 
22142;Data:select:0, Godzina:select:1;k:0, 28:5;250 
22142;Data:select:0, Godzina:select:1;k:0, 28:6;250 
22142;Data:select:0, Godzina:select:1;k:0, 29:7;250 
22142;Data:select:0, Godzina:select:1;k:0, 29:8;250 
22142;Data:select:0, Godzina:select:1;k:0, 29:9;250 
22142;Data:select:0, Godzina:select:1;k:0, 30:10;250 
22142;Data:select:0, Godzina:select:1;k:0, 30:11;250 
22142;Data:select:0, Godzina:select:1;k:0, 30:12;250 
22142;Data:select:0, Godzina:select:1;k:0, 1:13;250 
22142;Data:select:0, Godzina:select:1;k:0, 1:14;250 
22142;Data:select:0, Godzina:select:1;k:0, 1:15;250 
22142;Data:select:0, Godzina:select:1;k:0, 2:16;250 
22142;Data:select:0, Godzina:select:1;k:0, 2:17;250 
22142;Data:select:0, Godzina:select:1;k:0, 2:18;250 
22199;Data:select:0, Godzina:select:1;k:0, 2:1;250 
22204;Data:select:0, Godzina:select:1;k:0, 2:1;250 
22204;Data:select:0, Godzina:select:1;k:0, 2:2;250 
22388;Data:select:0, Godzina:select:1;k:0, 27:1;250 
22388;Data:select:0, Godzina:select:1;k:0, 27:2;250 
22388;Data:select:0, Godzina:select:1;k:0, 28:3;250 
22388;Data:select:0, Godzina:select:1;k:0, 28:4;250 
22388;Data:select:0, Godzina:select:1;k:0, 29:5;250 
22388;Data:select:0, Godzina:select:1;k:0, 29:6;250 
22388;Data:select:0, Godzina:select:1;k:0, 30:7;250 
22388;Data:select:0, Godzina:select:1;k:0, 30:8;250 
22388;Data:select:0, Godzina:select:1;k:0, 1:9;250 
22388;Data:select:0, Godzina:select:1;k:0, 1:10;250 
22388;Data:select:0, Godzina:select:1;k:0, 2:11;250 
22391;Data:select:0, Godzina:select:1;k:0, 8:1;250 
22510;Data:select:0, Godzina:select:1;k:0, 27:1;250 
22510;Data:select:0, Godzina:select:1;k:0, 27:2;250 
22510;Data:select:0, Godzina:select:1;k:0, 27:3;250 
22510;Data:select:0, Godzina:select:1;k:0, 27:4;250 
22510;Data:select:0, Godzina:select:1;k:0, 28:5;250 
22510;Data:select:0, Godzina:select:1;k:0, 28:6;250 
22510;Data:select:0, Godzina:select:1;k:0, 28:7;250 
22510;Data:select:0, Godzina:select:1;k:0, 29:8;250 
22510;Data:select:0, Godzina:select:1;k:0, 29:9;250 
22510;Data:select:0, Godzina:select:1;k:0, 29:10;250 
22510;Data:select:0, Godzina:select:1;k:0, 29:11;250 
22510;Data:select:0, Godzina:select:1;k:0, 30:12;250 
22510;Data:select:0, Godzina:select:1;k:0, 30:13;250 
22510;Data:select:0, Godzina:select:1;k:0, 30:14;250 
22510;Data:select:0, Godzina:select:1;k:0, 30:15;250 
22510;Data:select:0, Godzina:select:1;k:0, 1:16;250 
22510;Data:select:0, Godzina:select:1;k:0, 1:17;250 
22510;Data:select:0, Godzina:select:1;k:0, 1:18;250 
22510;Data:select:0, Godzina:select:1;k:0, 1:19;250 
22510;Data:select:0, Godzina:select:1;k:0, 2:20;250 
22510;Data:select:0, Godzina:select:1;k:0, 2:21;250 
22510;Data:select:0, Godzina:select:1;k:0, 2:22;250 
22510;Data:select:0, Godzina:select:1;k:0, 2:23;250 
22519;Data:select:0, Godzina:select:1;k:0, 4:1;250 
22519;Data:select:0, Godzina:select:1;k:0, 4:2;250 
22519;Data:select:0, Godzina:select:1;k:0, 5:3;250 
22519;Data:select:0, Godzina:select:1;k:0, 5:4;250 
22519;Data:select:0, Godzina:select:1;k:0, 6:5;250 
22520;Data:select:0, Godzina:select:1;k:0, 4:1;250 
22520;Data:select:0, Godzina:select:1;k:0, 4:2;250 
22520;Data:select:0, Godzina:select:1;k:0, 5:3;250 
22520;Data:select:0, Godzina:select:1;k:0, 5:4;250 
22520;Data:select:0, Godzina:select:1;k:0, 6:5;250 
22521;Data:select:0, Godzina:select:1;k:0, 4:1;250 
22521;Data:select:0, Godzina:select:1;k:0, 5:2;250 
22521;Data:select:0, Godzina:select:1;k:0, 6:3;250 
22522;Data:select:0, Godzina:select:1;k:0, 4:1;250 
22522;Data:select:0, Godzina:select:1;k:0, 5:2;250 
22522;Data:select:0, Godzina:select:1;k:0, 6:3;250 
