Indeks produktu; Atrybut(Nazwa:Typ:Pozycja)*; Wartość(Wartość:Pozycja)*; Wpływ na cenę; Ilość 
20804;Data:select:0, Godzina:select:1;11-2:0, 20-0:1;-8;250 
20805;Data:select:0, Godzina:select:1;10-27:0, 15-20:1;-8;250 
20805;Data:select:0, Godzina:select:1;10-28:0, 15-20:1;-4;250 
20805;Data:select:0, Godzina:select:1;10-29:0, 15-20:1;-8;250 
20805;Data:select:0, Godzina:select:1;10-30:0, 15-20:1;-12;250 
20805;Data:select:0, Godzina:select:1;11-1:0, 15-20:1;-8;250 
20805;Data:select:0, Godzina:select:1;11-2:0, 15-20:1;-8;250 
21327;Data:select:0, Godzina:select:1;10-27:0, 10-10:1;-9;250 
21327;Data:select:0, Godzina:select:1;10-28:0, 10-10:1;-6;250 
21327;Data:select:0, Godzina:select:1;10-29:0, 10-0:1;-9;250 
21327;Data:select:0, Godzina:select:1;10-30:0, 10-10:1;-12;250 
21327;Data:select:0, Godzina:select:1;11-1:0, 10-0:1;-9;250 
21327;Data:select:0, Godzina:select:1;11-2:0, 10-20:1;-9;250 
21353;Data:select:0, Godzina:select:1;10-27:0, 11-15:1;-9;250 
21353;Data:select:0, Godzina:select:1;10-27:0, 15-0:1;-9;250 
21353;Data:select:0, Godzina:select:1;10-28:0, 11-15:1;-6;250 
21353;Data:select:0, Godzina:select:1;10-28:0, 15-0:1;-6;250 
21358;Data:select:0, Godzina:select:1;10-27:0, 21-0:1;-8;250 
21358;Data:select:0, Godzina:select:1;10-28:0, 21-0:1;-4;250 
21358;Data:select:0, Godzina:select:1;10-28:0, 21-45:1;-4;250 
21358;Data:select:0, Godzina:select:1;10-29:0, 15-0:1;-8;250 
21358;Data:select:0, Godzina:select:1;10-29:0, 21-0:1;-8;250 
21358;Data:select:0, Godzina:select:1;10-29:0, 21-45:1;-8;250 
21358;Data:select:0, Godzina:select:1;10-30:0, 15-0:1;-12;250 
21358;Data:select:0, Godzina:select:1;10-30:0, 21-0:1;-12;250 
21358;Data:select:0, Godzina:select:1;10-30:0, 21-45:1;-12;250 
21358;Data:select:0, Godzina:select:1;11-1:0, 15-0:1;-8;250 
21358;Data:select:0, Godzina:select:1;11-1:0, 21-0:1;-8;250 
21358;Data:select:0, Godzina:select:1;11-1:0, 21-45:1;-8;250 
21358;Data:select:0, Godzina:select:1;11-2:0, 15-10:1;-8;250 
21358;Data:select:0, Godzina:select:1;11-2:0, 21-0:1;-8;250 
21358;Data:select:0, Godzina:select:1;11-2:0, 21-45:1;-8;250 
21362;Data:select:0, Godzina:select:1;10-27:0, 17-15:1;-8;250 
21362;Data:select:0, Godzina:select:1;10-28:0, 17-15:1;-4;250 
21362;Data:select:0, Godzina:select:1;10-29:0, 11-40:1;-8;250 
21362;Data:select:0, Godzina:select:1;10-29:0, 17-15:1;-8;250 
21362;Data:select:0, Godzina:select:1;10-30:0, 11-15:1;-12;250 
21362;Data:select:0, Godzina:select:1;10-30:0, 17-15:1;-12;250 
21362;Data:select:0, Godzina:select:1;11-1:0, 11-40:1;-8;250 
21362;Data:select:0, Godzina:select:1;11-1:0, 17-15:1;-8;250 
21362;Data:select:0, Godzina:select:1;11-2:0, 11-40:1;-8;250 
21362;Data:select:0, Godzina:select:1;11-2:0, 17-15:1;-8;250 
21363;Data:select:0, Godzina:select:1;10-27:0, 10-0:1;-9;250 
21363;Data:select:0, Godzina:select:1;10-28:0, 10-0:1;-6;250 
21363;Data:select:0, Godzina:select:1;10-29:0, 10-0:1;-9;250 
21363;Data:select:0, Godzina:select:1;10-30:0, 10-0:1;-12;250 
21363;Data:select:0, Godzina:select:1;11-1:0, 10-0:1;-9;250 
21363;Data:select:0, Godzina:select:1;11-2:0, 10-0:1;-9;250 
21364;Data:select:0, Godzina:select:1;10-27:0, 13-30:1;-8;250 
21364;Data:select:0, Godzina:select:1;10-27:0, 17-0:1;-8;250 
21364;Data:select:0, Godzina:select:1;10-27:0, 19-30:1;-8;250 
21364;Data:select:0, Godzina:select:1;10-27:0, 20-30:1;-8;250 
21364;Data:select:0, Godzina:select:1;10-27:0, 21-0:1;-8;250 
21364;Data:select:0, Godzina:select:1;10-28:0, 13-30:1;-4;250 
21364;Data:select:0, Godzina:select:1;10-28:0, 17-0:1;-4;250 
21364;Data:select:0, Godzina:select:1;10-28:0, 19-30:1;-4;250 
21364;Data:select:0, Godzina:select:1;10-28:0, 20-30:1;-4;250 
21364;Data:select:0, Godzina:select:1;10-29:0, 13-20:1;-8;250 
21364;Data:select:0, Godzina:select:1;10-29:0, 16-45:1;-8;250 
21364;Data:select:0, Godzina:select:1;10-29:0, 19-30:1;-8;250 
21364;Data:select:0, Godzina:select:1;10-29:0, 20-20:1;-8;250 
21364;Data:select:0, Godzina:select:1;10-30:0, 13-30:1;-12;250 
21364;Data:select:0, Godzina:select:1;10-30:0, 17-0:1;-12;250 
21364;Data:select:0, Godzina:select:1;10-30:0, 19-30:1;-12;250 
21364;Data:select:0, Godzina:select:1;10-30:0, 20-30:1;-12;250 
21364;Data:select:0, Godzina:select:1;11-1:0, 13-20:1;-8;250 
21364;Data:select:0, Godzina:select:1;11-1:0, 16-45:1;-8;250 
21364;Data:select:0, Godzina:select:1;11-1:0, 19-30:1;-8;250 
21364;Data:select:0, Godzina:select:1;11-1:0, 20-20:1;-8;250 
21364;Data:select:0, Godzina:select:1;11-2:0, 13-20:1;-8;250 
21364;Data:select:0, Godzina:select:1;11-2:0, 16-45:1;-8;250 
21364;Data:select:0, Godzina:select:1;11-2:0, 19-30:1;-8;250 
21364;Data:select:0, Godzina:select:1;11-2:0, 20-20:1;-8;250 
21557;Data:select:0, Godzina:select:1;11-1:0, 10-0:1;-8;250 
21748;Data:select:0, Godzina:select:1;10-27:0, 10-45:1;-8;250 
21748;Data:select:0, Godzina:select:1;10-27:0, 14-45:1;-8;250 
21748;Data:select:0, Godzina:select:1;10-27:0, 16-45:1;-8;250 
21748;Data:select:0, Godzina:select:1;10-27:0, 18-0:1;-8;250 
21748;Data:select:0, Godzina:select:1;10-27:0, 20-0:1;-8;250 
21748;Data:select:0, Godzina:select:1;10-27:0, 21-10:1;-8;250 
21748;Data:select:0, Godzina:select:1;10-28:0, 10-45:1;-4;250 
21748;Data:select:0, Godzina:select:1;10-28:0, 14-45:1;-4;250 
21748;Data:select:0, Godzina:select:1;10-28:0, 16-45:1;-4;250 
21748;Data:select:0, Godzina:select:1;10-28:0, 18-0:1;-4;250 
21748;Data:select:0, Godzina:select:1;10-28:0, 20-0:1;-4;250 
21748;Data:select:0, Godzina:select:1;10-28:0, 21-10:1;-4;250 
21748;Data:select:0, Godzina:select:1;10-29:0, 10-15:1;-8;250 
21748;Data:select:0, Godzina:select:1;10-29:0, 14-45:1;-8;250 
21748;Data:select:0, Godzina:select:1;10-29:0, 17-0:1;-8;250 
21748;Data:select:0, Godzina:select:1;10-29:0, 20-10:1;-8;250 
21748;Data:select:0, Godzina:select:1;10-29:0, 20-30:1;-8;250 
21748;Data:select:0, Godzina:select:1;10-30:0, 10-45:1;-12;250 
21748;Data:select:0, Godzina:select:1;10-30:0, 14-45:1;-12;250 
21748;Data:select:0, Godzina:select:1;10-30:0, 16-45:1;-12;250 
21748;Data:select:0, Godzina:select:1;10-30:0, 18-0:1;-12;250 
21748;Data:select:0, Godzina:select:1;10-30:0, 20-0:1;-12;250 
21748;Data:select:0, Godzina:select:1;10-30:0, 21-10:1;-12;250 
21748;Data:select:0, Godzina:select:1;11-1:0, 10-15:1;-8;250 
21748;Data:select:0, Godzina:select:1;11-1:0, 15-10:1;-8;250 
21748;Data:select:0, Godzina:select:1;11-1:0, 17-0:1;-8;250 
21748;Data:select:0, Godzina:select:1;11-1:0, 18-0:1;-8;250 
21748;Data:select:0, Godzina:select:1;11-1:0, 20-10:1;-8;250 
21748;Data:select:0, Godzina:select:1;11-1:0, 21-10:1;-8;250 
21748;Data:select:0, Godzina:select:1;11-2:0, 10-10:1;-8;250 
21748;Data:select:0, Godzina:select:1;11-2:0, 14-50:1;-8;250 
21748;Data:select:0, Godzina:select:1;11-2:0, 17-0:1;-8;250 
21748;Data:select:0, Godzina:select:1;11-2:0, 20-10:1;-8;250 
21748;Data:select:0, Godzina:select:1;11-2:0, 20-30:1;-8;250 
21754;Data:select:0, Godzina:select:1;10-30:0, 10-0:1;-12;250 
21836;Data:select:0, Godzina:select:1;10-29:0, 18-0:1;-8;250 
22142;Data:select:0, Godzina:select:1;10-27:0, 12-20:1;-9;250 
22142;Data:select:0, Godzina:select:1;10-27:0, 14-15:1;-9;250 
22142;Data:select:0, Godzina:select:1;10-27:0, 17-45:1;-9;250 
22142;Data:select:0, Godzina:select:1;10-28:0, 12-20:1;-6;250 
22142;Data:select:0, Godzina:select:1;10-28:0, 14-15:1;-6;250 
22142;Data:select:0, Godzina:select:1;10-28:0, 17-45:1;-6;250 
22142;Data:select:0, Godzina:select:1;10-29:0, 12-20:1;-9;250 
22142;Data:select:0, Godzina:select:1;10-29:0, 14-30:1;-9;250 
22142;Data:select:0, Godzina:select:1;10-29:0, 17-45:1;-9;250 
22142;Data:select:0, Godzina:select:1;10-30:0, 12-20:1;-12;250 
22142;Data:select:0, Godzina:select:1;10-30:0, 14-15:1;-12;250 
22142;Data:select:0, Godzina:select:1;10-30:0, 17-45:1;-12;250 
22142;Data:select:0, Godzina:select:1;11-1:0, 12-50:1;-9;250 
22142;Data:select:0, Godzina:select:1;11-1:0, 14-30:1;-9;250 
22142;Data:select:0, Godzina:select:1;11-1:0, 17-45:1;-9;250 
22142;Data:select:0, Godzina:select:1;11-2:0, 12-30:1;-9;250 
22142;Data:select:0, Godzina:select:1;11-2:0, 14-40:1;-9;250 
22142;Data:select:0, Godzina:select:1;11-2:0, 17-45:1;-9;250 
22199;Data:select:0, Godzina:select:1;11-2:0, 10-0:1;-8;250 
22204;Data:select:0, Godzina:select:1;11-2:0, 13-0:1;-8;250 
22204;Data:select:0, Godzina:select:1;11-2:0, 18-0:1;-8;250 
22388;Data:select:0, Godzina:select:1;10-27:0, 12-30:1;-8;250 
22388;Data:select:0, Godzina:select:1;10-27:0, 18-15:1;-8;250 
22388;Data:select:0, Godzina:select:1;10-28:0, 12-30:1;-4;250 
22388;Data:select:0, Godzina:select:1;10-28:0, 18-15:1;-4;250 
22388;Data:select:0, Godzina:select:1;10-29:0, 12-45:1;-8;250 
22388;Data:select:0, Godzina:select:1;10-29:0, 18-15:1;-8;250 
22388;Data:select:0, Godzina:select:1;10-30:0, 12-30:1;-12;250 
22388;Data:select:0, Godzina:select:1;10-30:0, 18-15:1;-12;250 
22388;Data:select:0, Godzina:select:1;11-1:0, 12-30:1;-8;250 
22388;Data:select:0, Godzina:select:1;11-1:0, 18-15:1;-8;250 
22388;Data:select:0, Godzina:select:1;11-2:0, 18-15:1;-8;250 
22391;Data:select:0, Godzina:select:1;11-8:0, 18-0:1;-8;250 
22510;Data:select:0, Godzina:select:1;10-27:0, 11-0:1;-9;250 
22510;Data:select:0, Godzina:select:1;10-27:0, 13-40:1;-9;250 
22510;Data:select:0, Godzina:select:1;10-27:0, 16-20:1;-9;250 
22510;Data:select:0, Godzina:select:1;10-27:0, 18-45:1;-9;250 
22510;Data:select:0, Godzina:select:1;10-28:0, 13-40:1;-6;250 
22510;Data:select:0, Godzina:select:1;10-28:0, 16-20:1;-6;250 
22510;Data:select:0, Godzina:select:1;10-28:0, 19-0:1;-6;250 
22510;Data:select:0, Godzina:select:1;10-29:0, 11-0:1;-9;250 
22510;Data:select:0, Godzina:select:1;10-29:0, 13-40:1;-9;250 
22510;Data:select:0, Godzina:select:1;10-29:0, 16-20:1;-9;250 
22510;Data:select:0, Godzina:select:1;10-29:0, 19-0:1;-9;250 
22510;Data:select:0, Godzina:select:1;10-30:0, 11-0:1;-12;250 
22510;Data:select:0, Godzina:select:1;10-30:0, 13-40:1;-12;250 
22510;Data:select:0, Godzina:select:1;10-30:0, 16-20:1;-12;250 
22510;Data:select:0, Godzina:select:1;10-30:0, 19-0:1;-12;250 
22510;Data:select:0, Godzina:select:1;11-1:0, 11-0:1;-9;250 
22510;Data:select:0, Godzina:select:1;11-1:0, 13-40:1;-9;250 
22510;Data:select:0, Godzina:select:1;11-1:0, 16-20:1;-9;250 
22510;Data:select:0, Godzina:select:1;11-1:0, 19-0:1;-9;250 
22510;Data:select:0, Godzina:select:1;11-2:0, 11-0:1;-9;250 
22510;Data:select:0, Godzina:select:1;11-2:0, 13-40:1;-9;250 
22510;Data:select:0, Godzina:select:1;11-2:0, 16-20:1;-9;250 
22510;Data:select:0, Godzina:select:1;11-2:0, 19-0:1;-9;250 
22519;Data:select:0, Godzina:select:1;11-4:0, 10-30:1;-9;250 
22519;Data:select:0, Godzina:select:1;11-4:0, 14-30:1;-9;250 
22519;Data:select:0, Godzina:select:1;11-5:0, 10-30:1;-9;250 
22519;Data:select:0, Godzina:select:1;11-5:0, 14-30:1;-9;250 
22519;Data:select:0, Godzina:select:1;11-6:0, 18-30:1;-9;250 
22520;Data:select:0, Godzina:select:1;11-4:0, 11-15:1;-9;250 
22520;Data:select:0, Godzina:select:1;11-4:0, 13-40:1;-9;250 
22520;Data:select:0, Godzina:select:1;11-5:0, 11-15:1;-9;250 
22520;Data:select:0, Godzina:select:1;11-5:0, 13-40:1;-9;250 
22520;Data:select:0, Godzina:select:1;11-6:0, 17-0:1;-9;250 
22521;Data:select:0, Godzina:select:1;11-4:0, 11-50:1;-9;250 
22521;Data:select:0, Godzina:select:1;11-5:0, 11-50:1;-9;250 
22521;Data:select:0, Godzina:select:1;11-6:0, 17-30:1;-9;250 
22522;Data:select:0, Godzina:select:1;11-4:0, 10-0:1;-9;250 
22522;Data:select:0, Godzina:select:1;11-5:0, 10-0:1;-9;250 
22522;Data:select:0, Godzina:select:1;11-6:0, 15-40:1;-9;250 
